"","Participant.Private.ID","Eye.Condition","Task.Name","Trial.Number","Screen.Name","letter","Response","Attempt","Correct","Incorrect","Reaction.Time","ACQ","ACQ_answer"
"42",4450899,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4322.69999980927,"4 + 2 =",6
"43",4449101,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1738,"4 + 2 =",6
"44",4379880,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2727.00000000001,"4 + 2 =",6
"45",4489139,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1730.29999995232,"4 + 2 =",6
"46",4408537,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1531.5,"4 + 2 =",6
"47",4336146,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1763.79999999702,"4 + 2 =",6
"48",4354253,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2533.40000000037,"4 + 2 =",6
"49",4333590,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2579.80000000005,"4 + 2 =",6
"50",4381159,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2403.08000007644,"4 + 2 =",6
"51",4443776,"Binoc","Visual Acuity With Height","1","Screen 1","","8",1,0,1,2117.30000019073,"4 + 2 =",6
"52",4449137,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2747.20000004768,"4 + 2 =",6
"53",4450348,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1549.59999990463,"4 + 2 =",6
"54",4336342,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2534,"4 + 2 =",6
"55",4448050,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2703,"4 + 2 =",6
"56",4449717,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3113.79999999702,"4 + 2 =",6
"57",4452039,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2378.39999999991,"4 + 2 =",6
"58",4494914,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2141.89999999106,"4 + 2 =",6
"59",4447916,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2612.30000000028,"4 + 2 =",6
"60",4404605,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1491,"4 + 2 =",6
"61",4454520,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4218,"4 + 2 =",6
"62",4339358,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1624.5,"4 + 2 =",6
"63",4469128,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,6629.06500000099,"4 + 2 =",6
"64",4495599,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1675.29999999702,"4 + 2 =",6
"65",4424285,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1312.90000000596,"4 + 2 =",6
"66",4384320,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1750.89999997616,"4 + 2 =",6
"67",4334401,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2125,"4 + 2 =",6
"68",4449574,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2470.30000019073,"4 + 2 =",6
"69",4475413,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1688.90000000224,"4 + 2 =",6
"70",4373538,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1818.5,"4 + 2 =",6
"71",4333147,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3318.89999985695,"4 + 2 =",6
"72",4488838,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2431.29999999702,"4 + 2 =",6
"73",4429865,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1392.25499983877,"4 + 2 =",6
"74",4372219,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2365.80000000447,"4 + 2 =",6
"75",4482002,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3610,"4 + 2 =",6
"76",4472380,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4557.29999995232,"4 + 2 =",6
"77",4447985,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4571.70000004768,"4 + 2 =",6
"78",4445309,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,5029,"4 + 2 =",6
"79",4392148,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2025.89999997616,"4 + 2 =",6
"80",4333569,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1837.30000019073,"4 + 2 =",6
"81",4449369,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,11549.5,"4 + 2 =",6
"82",4460944,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1341.30000001192,"4 + 2 =",6
"83",4449420,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2540,"4 + 2 =",6
"84",4334877,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2574.5,"4 + 2 =",6
"85",4332728,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2624,"4 + 2 =",6
"86",4476704,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2942,"4 + 2 =",6
"87",4495135,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3840.4000005722,"4 + 2 =",6
"88",4491824,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2659.69999999553,"4 + 2 =",6
"89",4452506,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3538.99999999997,"4 + 2 =",6
"90",4450899,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3133.20000004768,"4 + 2 =",6
"91",4449101,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2225.80000001192,"4 + 2 =",6
"92",4379880,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2332,"4 + 2 =",6
"93",4489139,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,9071.19999992847,"4 + 2 =",6
"94",4408537,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2221.89999985695,"4 + 2 =",6
"95",4354253,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1978.69999999925,"4 + 2 =",6
"96",4336146,"Binoc","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3207.39999999851,"4 + 2 =",6
